Jaar,Doelstelling - maatregel,Domein,Risicoveld,Prioriteit (tijdsplanning),Uitvoerder,"Middelen : 
Budget of werkuren",Startdatum,Realisatie,Einddatum,Opmerkingen
2021,Risicoanalyse functies ,Arbeidsveiligheid,Algemeen,A = hoge prioriteit,Vlotter + Arbeidsarts,,1.01.2021,In uitvoering,31.12.2021,
2022,Opvolging verplichte keuringen,Arbeidsveiligheid,Algemeen,B = middelhoge prioriteit,Vlotter,,1.01.2022,In uitvoering,31.12.2022,
2023,EHBO incidenten registreren en analyseren,Arbeidsveiligheid,Algemeen,B = middelhoge prioriteit,Vlotter,,1.01.2022,Uitgevoerd,31.12.2022,Per kwartaal aan te leveren aan de PA
2023,"Opleidingen geven aan de HL (Hiërarchische lijn) i.v.m.:
- Taken en verantwoordelijkheden van de HL
- Ongevallenonderzoek
- Aanspreken van medewerkers op onveilig gedrag",Arbeidsveiligheid,Algemeen,B = middelhoge prioriteit,Vlotter + PA,,1.01.2023,In uitvoering,31.12.2023,Zal bekeken worden of dit in teamdag kan opgenomen worden.
2023,Stand van zaken VIK + SDS fiches gevaarlijke producten + inventarisatie,Arbeidsveiligheid,Algemeen,A = hoge prioriteit,Vlotter + PA,,1.01.2021,In uitvoering,31.12.2021,
2024,"Opleidingen geven aan werknemers:
- LMRA (Last minute risico-analyse)
- Taken en verantwoordelijkheden WN",Arbeidsveiligheid,Algemeen,B = middelhoge prioriteit,Vlotter + PA,,1.01.2024,In uitvoering,31.12.2024,Wordt opgenomen via Toolboxen
2024,Uitvoeren van een risicoanalyse laagspanningsinstallatie,Arbeidsveiligheid,Algemeen,B = middelhoge prioriteit,Vlotter,,1.01.2024,In uitvoering,31.12.2024,
2024,Plaatsbezoek door PA op buitenposten,Arbeidsveiligheid,Algemeen,B = middelhoge prioriteit,PA,,1.01.2024,Nog niet uitgevoerd,31.12.2024,
2024,Opmaken van veiligheidsregister voor horecazaken,Arbeidsveiligheid,Algemeen,B = middelhoge prioriteit,PA,,1.01.2024,In uitvoering,31.12.2024,
2024,Nieuwe procedure AO wordt uitgewerkt,Arbeidsveiligheid,Algemeen,A = hoge prioriteit,Vlotter,,1.01.2024,In uitvoering,31.12.2024,
2025,Stand van zaken VIK + SDS fiches gevaarlijke producten + inventarisatie,Arbeidsveiligheid,Algemeen,A = hoge prioriteit,Vlotter + PA,,1.01.2021,In uitvoering,31.12.2021,
